K_EMPRESA,ANIO,MES,FOLIO,FECHA,CONCESIONARIO,EMPRESA,L_TOTAL_E,L_PREPAGO_E,L_POSPAGOC_E,L_POSPAGOL_E,K_GRUPO,GRUPO
C657,2013,12,100520,15DEC2013,"SERVICIOS DE ACCESO INALAMBRICOS, S.A. DE C.V.",SAI,648,648,,,C657,SAI
C517,2013,1,100625,15JAN2013,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"71,006,775","62,284,230","8,722,545",,G006,AMÉRICA MÓVIL
C517,2013,2,100625,15-feb-13,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"71,167,685","62,386,663","8,781,022",,G006,AMÉRICA MÓVIL
C517,2013,3,100625,15-mar-13,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"71,219,862","62,386,780","8,833,082",,G006,AMÉRICA MÓVIL
C517,2013,4,100625,15APR2013,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"71,275,174","62,396,727","8,878,447",,G006,AMÉRICA MÓVIL
C517,2013,5,100625,15-may-13,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"71,683,181","62,740,138","8,943,043",,G006,AMÉRICA MÓVIL
C517,2013,6,100625,15-jun-13,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"71,964,923","62,956,298","9,008,625",,G006,AMÉRICA MÓVIL
C517,2013,7,100625,15-jul-13,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,286,954","63,213,213","9,073,741",,G006,AMÉRICA MÓVIL
C517,2013,8,100625,15AUG2013,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,583,482","63,433,644","9,149,838",,G006,AMÉRICA MÓVIL
C517,2013,9,100625,15-sep-13,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,464,205","63,269,550","9,194,655",,G006,AMÉRICA MÓVIL
C517,2013,10,100625,15-oct-13,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,394,808","63,159,592","9,235,216",,G006,AMÉRICA MÓVIL
C517,2013,11,100625,15-nov-13,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"72,801,317","63,510,158","9,291,159",,G006,AMÉRICA MÓVIL
C517,2013,12,100625,15DEC2013,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"73,504,684","64,112,126","9,392,558",,G006,AMÉRICA MÓVIL
C517,2014,1,100625,15JAN2014,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"73,866,871","64,426,651","9,440,220",,G006,AMÉRICA MÓVIL
C517,2014,2,100625,15-feb-14,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"73,715,690","64,220,074","9,495,616",,G006,AMÉRICA MÓVIL
C517,2014,3,100625,15-mar-14,"RADIOMOVIL DIPSA, S.A. DE C.V.",TELCEL,"73,343,191","63,797,284","9,545,907",,G006,AMÉRICA MÓVIL
