,movie_name,movie_year,movie_runtime,movie_rating,movie_metascore,movie_genre,movie_votes,movie_gross,movie_certificate,movie_synopsis,gen_1,gen_2,gen_3
762,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,65,"Adventure, Family, Fantasy            ","491,422",295.98,PG-13,"As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",Adventure,Family,Fantasy
252,The Sixth Sense,1999,107,8.1,64,"Drama, Mystery, Thriller            ","926,139",293.51,PG-13,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,Drama,Mystery,Thriller
149,Up,2009,96,8.2,88,"Animation, Adventure, Comedy            ","956,036",293,PG,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Animation,Adventure,Comedy
9,Inception,2010,148,8.8,74,"Action, Adventure, Sci-Fi            ","2,121,204",292.58,PG-13,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Action,Adventure,Sci-Fi
18,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,"Action, Adventure, Fantasy            ","1,181,715",290.48,PG,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Action,Adventure,Fantasy
788,Harry Potter and the Goblet of Fire,2005,157,7.7,81,"Adventure, Family, Fantasy            ","561,777",290.01,PG-13,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",Adventure,Family,Fantasy
249,"Monsters, Inc.",2001,92,8.1,79,"Animation, Adventure, Comedy            ","832,527",289.92,G,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",Animation,Adventure,Comedy
975,Home Alone,1990,103,7.6,63,"Comedy, Family            ","497,836",285.76,PG,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,Comedy,Family,
757,The Hangover,2009,100,7.7,73,Comedy,"729,280",277.32,R,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Comedy,,
752,Gravity,2013,91,7.7,96,"Drama, Sci-Fi, Thriller            ","780,498",274.09,PG-13,Two astronauts work together to survive after an accident leaves them stranded in space.,Drama,Sci-Fi,Thriller
525,Shrek,2001,90,7.9,84,"Animation, Adventure, Comedy            ","626,555",267.67,PG,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",Animation,Adventure,Comedy
390,The Incredibles,2004,115,8,90,"Animation, Action, Adventure            ","668,916",261.44,PG,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",Animation,Action,Adventure
426,Jaws,1975,124,8,87,"Adventure, Thriller            ","551,776",260,PG,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Adventure,Thriller,
743,Captain America: The Winter Soldier,2014,136,7.7,70,"Action, Adventure, Sci-Fi            ","757,709",259.77,PG-13,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",Action,Adventure,Sci-Fi
621,The Hobbit: The Desolation of Smaug,2013,161,7.8,66,"Adventure, Fantasy            ","611,628",258.37,PG-13,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",Adventure,Fantasy,
751,The Lego Movie,2014,100,7.7,83,"Animation, Action, Adventure            ","328,869",257.76,PG,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",Animation,Action,Adventure
