Temporada,Año,Posición,Equpo,Puntos,PJ,PG,PE,PP,GF,GC
2012-2013,2012,17,Atlas,12,17,1,9,7,16,24
2012-2013,2012,18,Querétaro,7,17,1,4,12,11,30
2011-2012,2011,1,Chivas,30,17,8,6,3,24,18
2011-2012,2011,2,Cruz Azul,29,17,8,5,4,21,14
2011-2012,2011,3,Tigres,28,17,7,7,3,22,13
2011-2012,2011,4,Santos,27,17,8,3,6,29,25
2011-2012,2011,5,Chiapas,26,17,7,5,5,28,23
2011-2012,2011,6,Pachuca,26,17,7,5,5,28,25
2011-2012,2011,7,Morelia,26,17,7,5,5,25,22
2011-2012,2011,8,Querétaro,26,17,8,2,7,24,21
2011-2012,2011,9,Pumas,25,17,7,4,6,19,25
2011-2012,2011,10,San Luis,24,17,6,6,5,23,20
2011-2012,2011,11,Monterrey,24,17,7,3,7,27,26
2011-2012,2011,12,Puebla,22,17,6,4,7,26,29
2011-2012,2011,13,Toluca,20,17,4,8,5,19,27
2011-2012,2011,14,Atlante,19,17,5,4,8,24,28
2011-2012,2011,15,Tijuana,18,17,3,9,5,21,23
2011-2012,2011,16,Estudiantes,18,17,6,0,11,24,30
2011-2012,2011,17,América,15,17,3,6,8,26,31
2011-2012,2011,18,Atlas,12,17,2,6,9,20,30
2010-2011,2010,1,Cruz Azul,39,17,12,3,2,33,13
2010-2011,2010,2,Monterrey,32,17,9,5,3,29,20
2010-2011,2010,3,Santos,30,17,9,3,5,28,19
2010-2011,2010,4,América,27,17,7,6,4,22,16
2010-2011,2010,5,San Luis,26,17,8,2,7,21,19
2010-2011,2010,6,Chiapas,25,17,6,7,4,21,14
2010-2011,2010,7,Pachuca,25,17,7,4,6,27,28
2010-2011,2010,8,Pumas,25,17,7,4,6,23,24
2010-2011,2010,9,Tigres,24,17,6,6,5,24,16
2010-2011,2010,10,Toluca,22,17,5,7,5,18,20
2010-2011,2010,11,Chivas,22,17,4,10,3,16,15
2010-2011,2010,12,Morelia,21,17,5,6,6,17,16
2010-2011,2010,13,Puebla,19,17,5,4,8,21,26
2010-2011,2010,14,Querétaro,19,17,5,4,8,18,28
2010-2011,2010,15,Atlante,16,17,4,4,9,17,27
2010-2011,2010,16,Necaxa,16,17,4,4,9,14,21
2010-2011,2010,17,Estudiantes,15,17,4,3,10,18,36
2010-2011,2010,18,Atlas,13,17,3,4,10,18,27
2009-2010,2009,1,Toluca,35,17,11,2,4,32,19
2009-2010,2009,2,Morelia,33,17,10,3,4,31,15
2009-2010,2009,3,Cruz Azul,33,17,11,0,6,35,19
2009-2010,2009,4,América,30,17,8,6,3,29,16
2009-2010,2009,5,Monterrey,30,17,9,3,5,27,16
2009-2010,2009,6,Santos,27,17,7,6,4,29,24
2009-2010,2009,7,Puebla,26,17,6,8,3,19,19
2009-2010,2009,8,Pachuca,24,17,7,3,7,24,29
2009-2010,2009,9,Atlante,23,17,7,2,8,18,23
2009-2010,2009,10,Tigres,22,17,5,7,5,23,18
2009-2010,2009,11,San Luis,21,17,5,6,6,21,24
2009-2010,2009,12,Estudiantes,20,17,5,5,7,23,29
2009-2010,2009,13,Chivas,19,17,5,4,8,23,29
2009-2010,2009,14,Chiapas,19,17,5,4,8,17,22
2009-2010,2009,15,Atlas,18,17,5,3,9,14,25
2009-2010,2009,16,Querétaro,18,17,5,3,9,17,29
2009-2010,2009,17,Pumas,17,17,4,5,8,16,23
2009-2010,2009,18,Indios,6,17,0,6,11,7,26
