Datos,Local,Marcador,Visita,Estadio
Viernes 19 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 719 Febrero 2021 - 20:30 hrs.,FC Juárez,1 - 0,Mazatlán FC,Olímpico Benito Juárez
Sábado 20 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 720 Febrero 2021 - 19:00 hrs.,Cruz Azul,3 - 2,Toluca,Azteca
Sábado 20 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 720 Febrero 2021 - 21:00 hrs.,Atlas,3 - 0,América,Jalisco
Domingo 21 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 721 Febrero 2021 - 12:00 hrs.,PUMAS,0 - 1,León,Olímpico Universitario
Domingo 21 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 721 Febrero 2021 - 17:00 hrs.,Gallos Blancos de Querétaro,1 - 1,Puebla F.C.,La Corregidora
Domingo 21 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 721 Febrero 2021 - 19:00 hrs.,UANL,3 - 2,Tijuana,Universitario
Lunes 22 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 722 Febrero 2021 - 21:00 hrs.,Pachuca,1 - 1,Guadalajara,Hidalgo
Jueves 25 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 825 Febrero 2021 - 21:00 hrs.,Club Atlético de San Luis,2 - 2,UANL,Alfonso Lastras Ramírez
Viernes 26 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 826 Febrero 2021 - 19:30 hrs.,Puebla F.C.,1 - 0,Necaxa,Cuauhtémoc
Viernes 26 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 826 Febrero 2021 - 20:30 hrs.,Mazatlán FC,3 - 0,Gallos Blancos de Querétaro,Estadio Mazatlán
Sábado 27 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 827 Febrero 2021 - 17:00 hrs.,Toluca,0 - 0,Atlas,Nemesio Diez
Sábado 27 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 827 Febrero 2021 - 19:00 hrs.,América,2 - 0,Pachuca,Azteca
Sábado 27 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 827 Febrero 2021 - 21:00 hrs.,León,0 - 1,Cruz Azul,Nou Camp
Domingo 28 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 828 Febrero 2021 - 17:00 hrs.,Monterrey,1 - 1,Tijuana,Estadio BBVA
Domingo 28 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 828 Febrero 2021 - 19:06 hrs.,Santos Laguna,3 - 2,FC Juárez,TSM Corona
Domingo 28 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 828 Febrero 2021 - 21:00 hrs.,Guadalajara,2 - 1,PUMAS,Estadio AKRON
Martes 2 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 92 Marzo 2021 - 17:00 hrs.,Atlas,3 - 1,Club Atlético de San Luis,Jalisco
Martes 2 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 92 Marzo 2021 - 19:00 hrs.,UANL,0 - 1,Toluca,Universitario
Martes 2 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 92 Marzo 2021 - 21:00 hrs.,León,1 - 2,Puebla F.C.,Nou Camp
